district_name,n_villages,mean_rainfed,mean_rainfed_simple,mean_index
Anand,348,0.07925057179955729,0.0864792431966952,0.23745012485786937
Mahesana,593,0.2659497544959646,0.2554256231204724,0.43114531266443107
Gandhinagar,260,0.32275124856410203,0.3148981333073859,0.458400715642203
Surat,705,0.35079470607662766,0.3147531507876691,0.34233686970074934
Sabar Kantha,1365,0.4186002643293187,0.40177293528200986,0.4569705021869659
Kheda,614,0.4312911481951305,0.40589590988386287,0.4682017617572697
Banas Kantha,1235,0.449047879386981,0.39958340087958955,0.3906504451740314
Vadodara,1547,0.4660553199508676,0.494359269378469,0.4218621065007923
Junagadh,901,0.49123486173152914,0.48346622909810266,0.48743904478871247
Navsari,380,0.5121352963022047,0.4725688983395753,0.5070646437841809
Bhavnagar,791,0.5919106066161904,0.5636443246402635,0.4706813965693232
Jamnagar,699,0.5942731740138253,0.5801582031139944,0.5745929266824319
Ahmadabad,510,0.5975594385203514,0.5478083013715122,0.4296494975191954
Rajkot,841,0.6387967842420209,0.6269386481967691,0.5102555307180042
Tapi,453,0.6410782718252951,0.6010811988329234,0.4490707058636936
Patan,514,0.6752846277469703,0.5696962894378543,0.37707864194647367
Surendranagar,648,0.6806639477731584,0.6643714215910822,0.41767608624549096
Porbandar,180,0.7109229225778554,0.7147824689915236,0.39325382710663626
Bharuch,658,0.7217677588609797,0.6965748984683882,0.3186567832736634
Amreli,614,0.7326738243165584,0.7306764162417078,0.42090425335180814
Panch Mahals,1196,0.7822111725221964,0.7576037496878181,0.32620936212391827
Narmada,559,0.7822347556839071,0.7429455665511574,0.3073603078116211
Kachchh,880,0.8141368526532045,0.7960401559396992,0.337203561469258
Valsad,451,0.8329396131940795,0.8131776848666513,0.2890041820980683
Dohad,694,0.8345725376715086,0.8093468700323977,0.33250799197869507
The Dangs,310,0.9714032200563626,0.9711484870429218,0.12435283145489695
