rank,imd_district,daily_actual_mm,daily_normal_mm,daily_dep_pct,daily_cat,cum_actual_mm,cum_normal_mm,cum_dep_pct,cum_cat
1,AHMEDABAD,0.0,3.5,-100,NR,539.6,608.8,-11,N
2,ANAND,0.0,2.6,-100,NR,759.8,766.6,-1,N
3,ARAVALLI,0.0,3.7,-100,NR,386.9,785.2,-51,D
4,BANASKANTHA,0.0,3.3,-100,NR,379.3,554.9,-32,D
5,BHARUCH,0.0,4.3,-100,NR,747.6,655.9,14,N
6,CHHOTA UDEPUR,0.0,4.0,-100,NR,601.2,901.8,-33,D
7,DAHOD,0.0,1.9,-100,NR,375.3,723.6,-48,D
8,DANGS,0.0,9.5,-100,NR,2352.3,2042.7,15,N
9,GANDHINAGAR,0.0,4.8,-100,NR,469.3,699.2,-33,D
10,KHEDA,0.0,4.2,-100,NR,867.4,755.8,15,N
11,MAHISAGAR,0.0,2.7,-100,NR,682.6,747.6,-9,N
12,MEHSANA,0.0,3.9,-100,NR,448.4,644.1,-30,D
13,NARMADA,0.0,5.3,-100,NR,867.4,951.6,-9,N
14,NAVSARI,0.0,7.6,-100,NR,2261.7,1674.4,35,E
15,PANCHMAHAL,0.0,2.4,-100,NR,699.6,863.1,-19,N
16,PATAN,0.0,2.2,-100,NR,406.7,515.5,-21,D
17,SABARKANTHA,0.0,2.1,-100,NR,410.2,774.1,-47,D
18,SURAT,0.0,5.8,-100,NR,1467.1,1177.5,25,E
19,TAPI,0.0,6.9,-100,NR,1323.9,1274.5,4,N
20,VADODARA,0.0,4.5,-100,NR,530.0,819.2,-35,D
21,VALSAD,1.1,8.9,-87,LD,2738.3,1900.2,44,E
1,AMRELI,2.2,3.7,-41,D,497.7,503.1,-1,N
2,BHAVNAGAR,0.3,3.7,-91,LD,482.5,500.6,-4,N
3,BOTAD,0.0,3.3,-100,NR,445.8,493.1,-10,N
4,DEVBHOOMI DWARKA,3.1,3.3,-5,N,61.0,516.3,-88,LD
5,GIR SOMNATH,0.0,5.9,-100,NR,470.1,802.1,-41,D
6,JAMNAGAR,0.5,2.2,-77,LD,225.8,572.5,-61,LD
7,JUNAGADH,0.0,5.9,-99,LD,592.5,795.6,-26,D
8,KUTCH,0.0,1.2,-100,NR,140.5,374.0,-62,LD
9,MORBI,0.0,1.7,-100,NR,473.4,481.9,-2,N
10,PORBANDAR,1.0,6.2,-84,LD,162.7,627.6,-74,LD
11,RAJKOT,0.6,2.9,-80,LD,356.5,561.1,-36,D
12,SURENDRANAGAR,0.0,2.2,-100,NR,481.0,465.7,3,N
