pc11_state_id,villages,index_issued,index_mean,low_confidence,subdivision_priority,low_conf_share,state,verdict,recon_fail_share,rainfed_iqr
21,47472,40579,0.17692189432999872,6894,0.0,0.14522244691607686,Odisha,FAILS,0.0,0.358333469679821
14,2316,416,0.1795671184396745,1902,0.0,0.8212435233160622,Manipur,MECHANISM ABSENT,0.0185185185185185,0.0
3,12163,12151,0.1405865322419292,12,0.0,0.0009865987009783771,Punjab,MECHANISM ABSENT,8.237232289950576e-05,0.0
18,25308,20787,0.11872553899391429,4521,0.0,0.17863916548127073,Assam,MECHANISM ABSENT,0.0,0.0
35,396,0,,396,0.0,1.0,Andaman & Nicobar Islands,MECHANISM ABSENT,,0.0
6,6610,6602,0.20402953271182706,8,0.0,0.001210287443267776,Haryana,MECHANISM WEAK,0.0,0.0883498658946741
15,682,0,,682,0.0,1.0,Mizoram,NO DATA,,
17,5501,0,,5501,0.0,1.0,Meghalaya,NO DATA,,
23,51877,51258,0.4376815410430622,620,5126.0,0.011951346454112612,Madhya Pradesh,PASSES,2.0870726718704347e-05,0.4857730213077793
10,39050,38826,0.43440974938380483,224,3883.0,0.005736235595390525,Bihar,PASSES,0.0,0.4286429006387499
32,992,991,0.4105828137309495,2,100.0,0.0020161290322580645,Kerala,PASSES,0.0,0.5523501652454563
24,17801,17455,0.3876239088993727,346,1746.0,0.01943711027470367,Gujarat,PASSES,0.0,0.5981379868759572
29,27237,27000,0.38697367616913847,237,2701.0,0.008701398832470536,Karnataka,PASSES,0.0,0.3737081787672891
28,26212,25534,0.37545965957789523,893,2554.0,0.03406836563406074,Andhra Pradesh,PASSES,0.0,0.5229931371043824
33,14944,14798,0.36600000154491247,146,1480.0,0.009769807280513918,Tamil Nadu,PASSES,0.0,0.5830247597819982
8,39669,39339,0.3415232972449226,330,3934.0,0.00831883838765787,Rajasthan,PASSES,0.0,0.6077151318031253
16,837,770,0.3104280767169587,67,78.0,0.08004778972520908,Tripura,PASSES,0.0,0.4885810782178482
22,19545,18424,0.3050259880116843,1390,1843.0,0.07111793297518547,Chhattisgarh,PASSES,0.0,0.3926003127473917
20,29481,27431,0.30309861316983766,2732,2744.0,0.09266985516095112,Jharkhand,PASSES,0.0002548290097344,0.2630305306337241
19,37284,34760,0.30153272814577003,14729,3477.0,0.39504881450488144,West Bengal,PASSES,0.0007213619313263,0.7692307692307692
30,320,318,0.2958469594606903,2,32.0,0.00625,Goa,PASSES,0.0,0.1508128372530016
11,422,393,0.2834976882878401,29,40.0,0.06872037914691943,Sikkim,PASSES,0.0,0.2502451981833783
1,6310,6254,0.27316560678968005,65,626.0,0.010301109350237718,Jammu & Kashmir,PASSES,0.0,0.8123775787206088
9,97737,96680,0.24096348673128462,1359,9669.0,0.013904662512661531,Uttar Pradesh,PASSES,0.0014822237531575,0.166209304375572
5,15708,15290,0.19288200860624272,424,1530.0,0.026992615227909345,Uttarakhand,PASSES,0.0031472199557057,0.2427287483895175
2,17492,17044,0.18189035962172762,448,1705.0,0.025611708209467184,Himachal Pradesh,PASSES,0.0,0.2284961048955577
12,3355,0,,3355,0.0,1.0,Arunachal Pradesh,SOURCE DATA UNRELIABLE,0.7073170731707317,0.0
13,1262,0,,1262,0.0,1.0,Nagaland,SOURCE DATA UNRELIABLE,1.0,0.0
27,40810,0,,40810,0.0,1.0,Maharashtra,SOURCE DATA UNRELIABLE,0.9974703397333738,0.2659957420266162
7,1,1,0.5820003994266949,0,0.0,0.0,NCT of Delhi,TOO FEW ROWS,0.0,0.0
4,1,1,0.49685687078049867,0,0.0,0.0,Chandigarh,TOO FEW ROWS,0.0,0.0
26,65,64,0.26144818214721766,1,0.0,0.015384615384615385,Dadra & Nagar Haveli,TOO FEW ROWS,0.0,0.1149334486583608
34,90,90,0.24650454314025025,0,0.0,0.0,Puducherry,TOO FEW ROWS,0.0,0.1481305506430054
25,17,17,0.17259136908756756,0,0.0,0.0,Daman & Diu,TOO FEW ROWS,0.0,0.017267940850854
31,6,0,,6,0.0,1.0,Lakshadweep,TOO FEW ROWS,,0.0
