id,mkt_name,state_id,district_id,district_name,mkt_norm
440,APMC ANAND,11.0,133.0,Anand,anand
2638,APMC HALVAD,11.0,151.0,Morbi,halvad
1252,APMCKHEDBRAHMA,11.0,158.0,Sabarkantha,apmckhedbrahma
2284,Abadasa APMC,11.0,147.0,Kachchh,abadasa
66,Ahmedabad APMC,11.0,131.0,Ahmedabad,ahmedabad
2543,Ahmedabad(Chimanbhai Patal Market Vasana) APMC,11.0,131.0,Ahmedabad,ahmedabad
2763,Ahmedabad(Flower Market Jamalpur) APMC,11.0,135.0,Banaskanth,ahmedabad
2541,"Ahmedabad(Fruit Market, Naroda) APMC",11.0,131.0,Ahmedabad,ahmedabad
2764,Ahmedabad(Manekchowk) APMC,11.0,131.0,Ahmedabad,ahmedabad
2542,Ahmedabad(Rajnagar sub yard) APMC,11.0,131.0,Ahmedabad,ahmedabad
2640,Ahwa-Dang APMC,11.0,162.0,The Dangs,ahwa dang
2314,Amirgadh APMC,11.0,135.0,Banaskanth,amirgadh
1270,Amod APMC,11.0,136.0,Bharuch,amod
2571,"Anand(Veg,Yard,Anand) APMC",11.0,133.0,Anand,anand
1256,Anjar APMC,11.0,147.0,Kachchh,anjar
2595,"Anjar(Veg,Sub Yard) APMC",11.0,147.0,Kachchh,anjar
2599,Anklav APMC,11.0,133.0,Anand,anklav
434,Ankleshwar APMC,11.0,136.0,Bharuch,ankleshwar
1560,Babra APMC,11.0,132.0,Amreli,babra
1257,Bachau APMC,11.0,147.0,Kachchh,bachau
1624,Bagasara APMC,11.0,132.0,Amreli,bagasara
1540,Balasinor APMC,11.0,148.0,Kheda,balasinor
431,Banaskantha APMC,11.0,135.0,Banaskanth,banaskantha
785,Bardoli APMC,11.0,159.0,Surat,bardoli
2623,Bardoli(Kadod) APMC,11.0,159.0,Surat,bardoli
2816,Bardoli(Madhi) APMC,11.0,159.0,Surat,bardoli
2579,Baruch Vagara APMC,11.0,136.0,Bharuch,baruch vagara
2275,Barvala APMC,11.0,131.0,Ahmedabad,barvala
1250,Bavla APMC,11.0,131.0,Ahmedabad,bavla
783,Bayad APMC,11.0,158.0,Sabarkantha,bayad
2609,Bayad(Demai) APMC,11.0,158.0,Sabarkantha,bayad
2610,Bayad(Sadamba) APMC,11.0,158.0,Sabarkantha,bayad
1530,Becharaji APMC,11.0,150.0,Mehsana,becharaji
1554,Bhabhar APMC,11.0,135.0,Banaskanth,bhabhar
2602,Bhanvad APMC,11.0,142.0,Devbhumi Dwarka,bhanvad
54,Bharuch APMC,11.0,136.0,Bharuch,bharuch
2309,Bhatiya APMC,11.0,145.0,Jamnagar,bhatiya
433,Bhavnagar APMC,11.0,137.0,Bhavnagar,bhavnagar
2298,Bhesan APMC,11.0,146.0,Junagarh,bhesan
1534,Bhiloda APMC,11.0,158.0,Sabarkantha,bhiloda
441,Bhuj APMC,11.0,147.0,Kachchh,bhuj
1146,Bilimora APMC,11.0,153.0,Navsari,bilimora
2633,Bilimora(Gandevi) APMC,11.0,153.0,Navsari,bilimora
432,Bodeliu APMC,11.0,139.0,Chhota Udaipur,bodeliu
1264,Borsad APMC,11.0,133.0,Anand,borsad
2279,Borsad(Asodar) APMC,11.0,133.0,Anand,borsad
2598,Borsad(Veg Yard Barsad) APMC,11.0,133.0,Anand,borsad
1102,Botad APMC,11.0,138.0,Botad,botad
2568,Botad(Bhabarkot) APMC,11.0,138.0,Botad,botad
2785,Botad(Haddad) APMC,11.0,138.0,Botad,botad
2790,Chachack  APMC,11.0,139.0,Chhota Udaipur,chachack
1251,Chansama APMC,11.0,155.0,Patan,chansama
53,Chhota Udaipur APMC,11.0,163.0,Vadodara(Baroda),chhota udaipur
436,Chikhali APMC,11.0,153.0,Navsari,chikhali
2582,Chikli(Khorgam) APMC,11.0,164.0,Valsad,chikli
2627,"Chotial(Veg,Yard) APMC",11.0,160.0,Surendranagar,chotial
1551,Chotila APMC,11.0,160.0,Surendranagar,chotila
2590,"Chotila(Veg,Yard Chotila) APMC",11.0,160.0,Surendranagar,chotila
2619,Dabhoi(Kayavarohan) APMC,11.0,163.0,Vadodara(Baroda),dabhoi
1543,Daboi APMC,11.0,163.0,Vadodara(Baroda),daboi
56,Dahod APMC,11.0,140.0,Dahod,dahod
2548,Dahod(Garbada) APMC,11.0,140.0,Dahod,dahod
2550,Dahod(Himalaya) APMC,11.0,140.0,Dahod,dahod
2767,Dahod(Jesavada) APMC,11.0,140.0,Dahod,dahod
2549,Dahod(Veg. Market) APMC,11.0,140.0,Dahod,dahod
1626,Damnagar APMC,11.0,132.0,Amreli,damnagar
2313,Danta APMC,11.0,135.0,Banaskanth,danta
1555,Dasada Patadi APMC,11.0,160.0,Surendranagar,dasada patadi
2769,Davgadbaria(Piplod) APMC,11.0,140.0,Dahod,davgadbaria
1269,Dediyapada APMC,11.0,152.0,Narmada,dediyapada
50,Deesa APMC,11.0,135.0,Banaskanth,deesa
2561,Deesa(Bhildi) APMC,11.0,135.0,Banaskanth,deesa
2774,Deesa(Deesa Veg Yard) APMC,11.0,135.0,Banaskanth,deesa
1098,Dehgam APMC,11.0,143.0,Gandhinagar,dehgam
2632,Dehgam(Rekhiyal) APMC,11.0,143.0,Gandhinagar,dehgam
1107,Derol APMC,11.0,154.0,Panchmahals,derol
2575,Derol(Adadara) APMC,11.0,154.0,Panchmahals,derol
2779,Derol(Vejalpur) APMC,11.0,154.0,Panchmahals,derol
1266,Devgadhbaria APMC,11.0,140.0,Dahod,devgadhbaria
426,Dhandhuka APMC,11.0,131.0,Ahmedabad,dhandhuka
2544,Dhandkuka(Dholera) APMC,11.0,131.0,Ahmedabad,dhandkuka
51,Dhanera APMC,11.0,135.0,Banaskanth,dhanera
2775,Dhanera(Samarwada) APMC,11.0,135.0,Banaskanth,dhanera
2563,"Dhanera(Veg,Yard Dhanera) APMC",11.0,135.0,Banaskanth,dhanera
1533,Dhansura APMC,11.0,158.0,Sabarkantha,dhansura
1274,Dharampur(veg) APMC,11.0,164.0,Valsad,dharampur
2295,Dhari APMC,11.0,132.0,Amreli,dhari
2634,Dhari(Chalala) APMC,11.0,132.0,Amreli,dhari
1254,Dholka APMC,11.0,131.0,Ahmedabad,dholka
2765,Dholka(Koth) APMC,11.0,131.0,Ahmedabad,dholka
2592,Dholka(Market Yard Veg) APMC,11.0,131.0,Ahmedabad,dholka
1253,Dhoraji APMC,11.0,157.0,Rajkot,dhoraji
2302,Dhragradhra APMC,11.0,160.0,Surendranagar,dhragradhra
2308,Dhrol APMC,11.0,145.0,Jamnagar,dhrol
2777,Diyodar APMC,11.0,135.0,Banaskanth,diyodar
2307,Gadada APMC,11.0,138.0,Botad,gadada
2305,Gariyadar APMC,11.0,137.0,Bhavnagar,gariyadar
2601,Garudeshwal APMC,11.0,152.0,Narmada,garudeshwal
445,Godhra APMC,11.0,154.0,Panchmahals,godhra
2778,Godhra Kakanpur APMC,11.0,154.0,Panchmahals,godhra kakanpur
2574,Godhra(Timbaroad) APMC,11.0,154.0,Panchmahals,godhra
1541,Gogamba APMC,11.0,154.0,Panchmahals,gogamba
2617,Gogamba(Similiya) APMC,11.0,154.0,Panchmahals,gogamba
61,Gondal APMC,11.0,157.0,Rajkot,gondal
2546,Gondal(Veg.market Gondal) APMC,11.0,157.0,Rajkot,gondal
2578,Hadad     APMC,11.0,139.0,Chhota Udaipur,hadad
2290,Halol APMC,11.0,154.0,Panchmahals,halol
1105,Harij APMC,11.0,155.0,Patan,harij
2282,Hasot APMC,11.0,136.0,Bharuch,hasot
2630,Hasot(Elav) APMC,11.0,136.0,Bharuch,hasot
447,Himatnagar APMC,11.0,158.0,Sabarkantha,himatnagar
2564,Himatnagar(Gambhoi) APMC,11.0,158.0,Sabarkantha,himatnagar
2565,Himatnagar(Veg.Market Himatnagar) APMC,11.0,158.0,Sabarkantha,himatnagar
782,Idar APMC,11.0,158.0,Sabarkantha,idar
2589,Idar(Jadar) APMC,11.0,158.0,Sabarkantha,idar
1623,Jam Jodhpur APMC,11.0,145.0,Jamnagar,jam jodhpur
1622,Jam Khambalia APMC,11.0,142.0,Devbhumi Dwarka,jam khambalia
1271,Jambusar APMC,11.0,136.0,Bharuch,jambusar
2604,Jambusar(Kaavi) APMC,11.0,136.0,Bharuch,jambusar
1617,Jamkandorna APMC,11.0,157.0,Rajkot,jamkandorna
437,Jamnagar APMC,11.0,145.0,Jamnagar,jamnagar
780,Jasdan APMC,11.0,157.0,Rajkot,jasdan
2591,Jasdan(Vichhiya) APMC,11.0,157.0,Rajkot,jasdan
1615,Jetpur(Dist.Rajkot) APMC,11.0,157.0,Rajkot,jetpur
2639,Jetpur-Pavi APMC,11.0,139.0,Chhota Udaipur,jetpur pavi
1557,Jhagadiya APMC,11.0,136.0,Bharuch,jhagadiya
1267,Jhalod APMC,11.0,140.0,Dahod,jhalod
2586,Jodiya APMC,11.0,145.0,Jamnagar,jodiya
438,Junagadh APMC,11.0,146.0,Junagarh,junagadh
2567,"Junagadh(Veg,Yard, Junagadh) APMC",11.0,146.0,Junagarh,junagadh
1104,K.Mandvi APMC,11.0,147.0,Kachchh,k mandvi
2626,KUKARMUNDA APMC,11.0,159.0,Surat,kukarmunda
1255,Kadi APMC,11.0,150.0,Mehsana,kadi
2593,Kadi(Kadi cotton Yard) APMC,11.0,150.0,Mehsana,kadi
1103,Kalawad APMC,11.0,145.0,Jamnagar,kalawad
2577,Kalediya APMC,11.0,139.0,Chhota Udaipur,kalediya
443,Kalol APMC,11.0,143.0,Gandhinagar,kalol
2556,"Kalol(Veg,Market,Kalol) APMC",11.0,143.0,Gandhinagar,kalol
2605,Kapadanj(Moti Jaher) APMC,11.0,148.0,Kheda,kapadanj
1275,Kapadvanj APMC,11.0,148.0,Kheda,kapadvanj
1145,Karjan APMC,11.0,163.0,Vadodara(Baroda),karjan
