mkt_name,district,pc11_district,tier,shrid2,matched_name,score
APMC ANAND,Anand,Anand,town_exact_in_district,11-24-482-03864-802562,anand,1.0
APMC HALVAD,Morbi,Rajkot,town_exact_statewide,11-24-475-03788-802490,halvad,1.0
APMCKHEDBRAHMA,Sabarkantha,Sabar Kantha,unmatched,,,
Abadasa APMC,Kachchh,,unmatched,,,
Ahmedabad APMC,Ahmedabad,Ahmadabad,town_fuzzy_in_district,11-24-474-03781-802484,ahmadabad,0.8888888888888888
Ahmedabad(Chimanbhai Patal Market Vasana) APMC,Ahmedabad,Ahmadabad,town_fuzzy_in_district,11-24-474-03781-802484,ahmadabad,0.8888888888888888
Ahmedabad(Flower Market Jamalpur) APMC,Banaskanth,,unmatched,,,
"Ahmedabad(Fruit Market, Naroda) APMC",Ahmedabad,Ahmadabad,town_fuzzy_in_district,11-24-474-03781-802484,ahmadabad,0.8888888888888888
Ahmedabad(Manekchowk) APMC,Ahmedabad,Ahmadabad,town_fuzzy_in_district,11-24-474-03781-802484,ahmadabad,0.8888888888888888
Ahmedabad(Rajnagar sub yard) APMC,Ahmedabad,Ahmadabad,town_fuzzy_in_district,11-24-474-03781-802484,ahmadabad,0.8888888888888888
Ahwa-Dang APMC,The Dangs,,unmatched,,,
Amirgadh APMC,Banaskanth,,unmatched,,,
Amod APMC,Bharuch,Bharuch,town_exact_in_district,11-24-488-03914-802605,amod,1.0
"Anand(Veg,Yard,Anand) APMC",Anand,Anand,town_exact_in_district,11-24-482-03864-802562,anand,1.0
Anjar APMC,Kachchh,,town_exact_statewide,11-24-468-03725-802444,anjar,1.0
"Anjar(Veg,Sub Yard) APMC",Kachchh,,town_exact_statewide,11-24-468-03725-802444,anjar,1.0
Anklav APMC,Anand,Anand,town_exact_in_district,11-24-482-03868-802570,anklav,1.0
Ankleshwar APMC,Bharuch,Bharuch,unmatched,,,
Babra APMC,Amreli,Amreli,town_exact_in_district,11-24-480-03840-802539,babra,1.0
Bachau APMC,Kachchh,,unmatched,,,
Bagasara APMC,Amreli,Amreli,town_exact_in_district,11-24-480-03844-802543,bagasara,1.0
Balasinor APMC,Kheda,Kheda,town_exact_in_district,11-24-483-03871-802572,balasinor,1.0
Banaskantha APMC,Banaskanth,,unmatched,,,
Bardoli APMC,Surat,Surat,town_exact_in_district,11-24-492-03940-802634,bardoli,1.0
Bardoli(Kadod) APMC,Surat,Surat,town_exact_in_district,11-24-492-03940-802634,bardoli,1.0
Bardoli(Madhi) APMC,Surat,Surat,town_exact_in_district,11-24-492-03940-802634,bardoli,1.0
Baruch Vagara APMC,Bharuch,Bharuch,unmatched,,,
Barvala APMC,Ahmedabad,Ahmadabad,unmatched,,,
Bavla APMC,Ahmedabad,Ahmadabad,town_exact_in_district,11-24-474-03784-802487,bavla,1.0
Bayad APMC,Sabarkantha,Sabar Kantha,town_exact_in_district,11-24-472-03772-802473,bayad,1.0
Bayad(Demai) APMC,Sabarkantha,Sabar Kantha,town_exact_in_district,11-24-472-03772-802473,bayad,1.0
Bayad(Sadamba) APMC,Sabarkantha,Sabar Kantha,town_exact_in_district,11-24-472-03772-802473,bayad,1.0
Becharaji APMC,Mehsana,Mahesana,unmatched,,,
Bhabhar APMC,Banaskanth,,town_exact_statewide,11-24-469-03742-802452,bhabhar,1.0
Bhanvad APMC,Devbhumi Dwarka,,town_exact_statewide,11-24-477-03820-802520,bhanvad,1.0
Bharuch APMC,Bharuch,Bharuch,town_exact_in_district,11-24-488-03916-802606,bharuch,1.0
Bhatiya APMC,Jamnagar,Jamnagar,village_exact_in_district,11-24-477-03819-513960,bhatiya,1.0
Bhavnagar APMC,Bhavnagar,Bhavnagar,town_exact_in_district,11-24-481-03854-802551,bhavnagar,1.0
Bhesan APMC,Junagarh,,unmatched,,,
Bhiloda APMC,Sabarkantha,Sabar Kantha,town_exact_in_district,11-24-472-03764-510317,bhiloda,1.0
Bhuj APMC,Kachchh,,town_exact_statewide,11-24-468-03726-802445,bhuj,1.0
Bilimora APMC,Navsari,Navsari,town_exact_in_district,11-24-490-03924-802617,bilimora,1.0
Bilimora(Gandevi) APMC,Navsari,Navsari,town_exact_in_district,11-24-490-03924-802617,bilimora,1.0
Bodeliu APMC,Chhota Udaipur,,unmatched,,,
Borsad APMC,Anand,Anand,town_exact_in_district,11-24-482-03867-802568,borsad,1.0
Borsad(Asodar) APMC,Anand,Anand,town_exact_in_district,11-24-482-03867-802568,borsad,1.0
Borsad(Veg Yard Barsad) APMC,Anand,Anand,town_exact_in_district,11-24-482-03867-802568,borsad,1.0
Botad APMC,Botad,Bhavnagar,town_exact_in_district,11-24-481-03850-802548,botad,1.0
Botad(Bhabarkot) APMC,Botad,Bhavnagar,town_exact_in_district,11-24-481-03850-802548,botad,1.0
Botad(Haddad) APMC,Botad,Bhavnagar,town_exact_in_district,11-24-481-03850-802548,botad,1.0
Chachack  APMC,Chhota Udaipur,,unmatched,,,
Chansama APMC,Patan,Patan,unmatched,,,
Chhota Udaipur APMC,Vadodara(Baroda),Vadodara,town_exact_in_district,11-24-486-03901-802599,chhota udaipur,1.0
Chikhali APMC,Navsari,Navsari,town_fuzzy_in_district,11-24-490-03925-523131,chikhli,0.9333333333333333
Chikli(Khorgam) APMC,Valsad,Valsad,unmatched,,,
"Chotial(Veg,Yard) APMC",Surendranagar,Surendranagar,unmatched,,,
Chotila APMC,Surendranagar,Surendranagar,town_exact_in_district,11-24-475-03794-802496,chotila,1.0
"Chotila(Veg,Yard Chotila) APMC",Surendranagar,Surendranagar,town_exact_in_district,11-24-475-03794-802496,chotila,1.0
Dabhoi(Kayavarohan) APMC,Vadodara(Baroda),Vadodara,town_exact_in_district,11-24-486-03905-802600,dabhoi,1.0
Daboi APMC,Vadodara(Baroda),Vadodara,town_fuzzy_in_district,11-24-486-03905-802600,dabhoi,0.9090909090909091
Dahod APMC,Dahod,Dohad,unmatched,,,
Dahod(Garbada) APMC,Dahod,Dohad,unmatched,,,
Dahod(Himalaya) APMC,Dahod,Dohad,unmatched,,,
Dahod(Jesavada) APMC,Dahod,Dohad,unmatched,,,
Dahod(Veg. Market) APMC,Dahod,Dohad,unmatched,,,
Damnagar APMC,Amreli,Amreli,town_exact_in_district,11-24-480-03841-802541,damnagar,1.0
Danta APMC,Banaskanth,,unmatched,,,
Dasada Patadi APMC,Surendranagar,Surendranagar,unmatched,,,
Davgadbaria(Piplod) APMC,Dahod,Dohad,town_fuzzy_in_district,11-24-485-03895-802591,devgadbaria,0.9090909090909091
Dediyapada APMC,Narmada,Narmada,town_fuzzy_in_district,11-24-487-03911-521769,dediapada,0.9473684210526315
Deesa APMC,Banaskanth,,town_exact_statewide,11-24-469-03740-802451,deesa,1.0
Deesa(Bhildi) APMC,Banaskanth,,town_exact_statewide,11-24-469-03740-802451,deesa,1.0
Deesa(Deesa Veg Yard) APMC,Banaskanth,,town_exact_statewide,11-24-469-03740-802451,deesa,1.0
Dehgam APMC,Gandhinagar,Gandhinagar,town_exact_in_district,11-24-473-03776-802480,dehgam,1.0
Dehgam(Rekhiyal) APMC,Gandhinagar,Gandhinagar,town_exact_in_district,11-24-473-03776-802480,dehgam,1.0
Derol APMC,Panchmahals,,unmatched,,,
Derol(Adadara) APMC,Panchmahals,,unmatched,,,
Derol(Vejalpur) APMC,Panchmahals,,unmatched,,,
Devgadhbaria APMC,Dahod,Dohad,town_fuzzy_in_district,11-24-485-03895-802591,devgadbaria,0.9565217391304348
Dhandhuka APMC,Ahmedabad,Ahmadabad,town_exact_in_district,11-24-474-03787-802489,dhandhuka,1.0
Dhandkuka(Dholera) APMC,Ahmedabad,Ahmadabad,town_fuzzy_in_district,11-24-474-03787-802489,dhandhuka,0.8888888888888888
Dhanera APMC,Banaskanth,,town_exact_statewide,11-24-469-03734-802449,dhanera,1.0
Dhanera(Samarwada) APMC,Banaskanth,,town_exact_statewide,11-24-469-03734-802449,dhanera,1.0
"Dhanera(Veg,Yard Dhanera) APMC",Banaskanth,,town_exact_statewide,11-24-469-03734-802449,dhanera,1.0
Dhansura APMC,Sabarkantha,Sabar Kantha,village_exact_in_district,11-24-472-03770-510848,dhansura,1.0
Dharampur(veg) APMC,Valsad,Valsad,town_exact_in_district,11-24-491-03928-802620,dharampur,1.0
Dhari APMC,Amreli,Amreli,village_exact_in_district,11-24-480-03845-515697,dhari,1.0
Dhari(Chalala) APMC,Amreli,Amreli,village_exact_in_district,11-24-480-03845-515697,dhari,1.0
Dholka APMC,Ahmedabad,Ahmadabad,town_exact_in_district,11-24-474-03783-802486,dholka,1.0
Dholka(Koth) APMC,Ahmedabad,Ahmadabad,town_exact_in_district,11-24-474-03783-802486,dholka,1.0
Dholka(Market Yard Veg) APMC,Ahmedabad,Ahmadabad,town_exact_in_district,11-24-474-03783-802486,dholka,1.0
Dhoraji APMC,Rajkot,Rajkot,town_exact_in_district,11-24-476-03810-802507,dhoraji,1.0
Dhragradhra APMC,Surendranagar,Surendranagar,town_fuzzy_in_district,11-24-475-03789-802491,dhrangadhra,0.9090909090909091
Dhrol APMC,Jamnagar,Jamnagar,town_exact_in_district,11-24-477-03816-802517,dhrol,1.0
Diyodar APMC,Banaskanth,,unmatched,,,
Gadada APMC,Botad,Bhavnagar,town_fuzzy_in_district,11-24-481-03852-802550,gadhada,0.9230769230769231
