scheme_id,scheme_name,district,region,shape,season_before,season_after,design_before_mcm,design_after_mcm,change_mcm,change_pct,direction,last_seen_before,first_seen_after,changeover_gap_days
25,Edalwada,Dahod,CG,single_step,2023,2024,6.42,14.08,7.66,119.31464174454828,up,2023-10-31,2024-06-01,214
59,Fatehgadh,Kachchh,Kutch,single_step,2023,2024,7.44,4.04,-3.4000000000000004,-45.6989247311828,down,2023-10-31,2024-06-01,214
8,Chopadvav,Narmada,SG,single_step,2023,2024,12.05,7.18,-4.870000000000001,-40.414937759336105,down,2023-10-31,2024-06-01,214
18,Patadungari,Dahod,CG,single_step,2023,2024,33.03,41.05,8.019999999999996,24.280956706024813,up,2023-10-31,2024-06-01,214
11,Kakdi-Amba,Narmada,SG,single_step,2023,2024,9.37,7.31,-2.0599999999999996,-21.98505869797225,down,2023-10-31,2024-06-01,214
38,Ver-II,Surat,SG,single_step,2022,2023,38.3,31.88,-6.419999999999998,-16.762402088772845,down,2022-10-31,2023-06-01,213
55,Suvi,Kachchh,Kutch,single_step,2023,2024,10.46,8.85,-1.6100000000000012,-15.391969407265785,down,2023-10-31,2024-06-01,214
43,Jhuj,Navsari,SG,single_step,2023,2024,28.65,24.45,-4.199999999999999,-14.659685863874344,down,2023-10-31,2024-06-01,214
39,Lakhigam,Surat,SG,single_step,2022,2023,4.89,4.26,-0.6299999999999999,-12.883435582822084,down,2022-10-31,2023-06-01,213
44,Kelia,Navsari,SG,single_step,2023,2024,19.98,17.46,-2.5199999999999996,-12.612612612612612,down,2023-10-31,2024-06-01,214
37,Doswada,Tapi,SG,single_step,2023,2024,3.8,3.43,-0.36999999999999966,-9.736842105263149,down,2023-10-31,2024-06-01,214
23,WNKL.-BHEY,Dahod,CG,single_step,2023,2024,12.62,13.3,0.6800000000000015,5.38827258320128,up,2023-10-31,2024-06-01,214
54,Kaila,Kachchh,Kutch,single_step,2023,2024,8.95,8.54,-0.41000000000000014,-4.581005586592181,down,2023-10-31,2024-06-01,214
48,Rudramata,Kachchh,Kutch,single_step,2023,2024,61.53,59.92,-1.6099999999999994,-2.616609783845278,down,2023-10-31,2024-06-01,214
4,Dantiwada,Banaskantha,NG,oscillating,2024,2025,393.62,397.12,3.5,0.8891824602408415,up,2024-10-31,2025-06-01,213
4,Dantiwada,Banaskantha,NG,oscillating,2022,2023,393.62,397.12,3.5,0.8891824602408415,up,2022-10-31,2023-06-01,213
4,Dantiwada,Banaskantha,NG,oscillating,2023,2024,397.12,393.62,-3.5,-0.8813456889605158,down,2023-10-31,2024-06-01,214
