sr_no,scheme_id,location_id,district,taluka,scheme_name,region,dam_type,osl_m,frl_m,pwl_m,design_gross_mcm,design_live_mcm,design_dead_mcm,present_gross_mcm,present_live_mcm,present_dead_mcm,pct_filling_src,rf,crf,warning,inflow_cusecs,outflow_river_cusecs,outflow_canal_cusecs,days_water_at_release,pct_filling_calc
1,42,1,Valsad,Kaprada,Damanganga,SG,G,59.46,79.86,78.1,524.86,478.09,46.77,444.59,397.82,46.77,84.71,15.0,2865.0,ALERT,3139.0,371.0,80.0,2032.531125080725,84.70639789658195
2,43,2,Navsari,Vansada,Jhuj,SG,UG,147.0,167.5,167.6,24.45,24.17,0.28,24.45,24.17,0.28,100.0,0.0,2823.0,HIGH ALERT,239.4,239.4,0.0,,100.0
3,44,3,Navsari,Vansada,Kelia,SG,UG,98.1,113.4,113.5,17.46,17.36,0.11,17.46,17.36,0.11,100.0,0.0,3025.0,HIGH ALERT,263.0,263.0,0.0,,100.0
4,37,4,Tapi,Songadh,Doswada,SG,UG,114.6,123.44,123.46,3.43,3.33,0.1,3.43,3.33,0.1,100.0,0.0,1532.0,HIGH ALERT,58.0,58.0,0.0,,100.0
5,8,5,Narmada,Sagbara,Chopadvav,SG,FG,176.4,187.4,187.15,7.18,7.18,0.0,6.81,6.81,0.0,94.85,0.0,973.0,HIGH ALERT,0.0,0.0,15.0,185.56515625894104,94.84679665738162
6,11,6,Narmada,Sagbara,Kakdi-Amba,SG,FG,177.21,187.71,187.5,7.31,7.29,0.02,7.01,6.99,0.02,95.9,0.0,1005.0,HIGH ALERT,0.0,0.0,15.0,190.46996215124787,95.89603283173736
7,36,7,Tapi,Songadh,Ukai,SG,G,78.77,105.156,102.132,7414.29,6729.9,684.39,5727.81,5043.42,684.39,77.25,0.0,1351.0,WARNING,6218.0,5418.0,800.0,2576.7704305602106,77.25365476667355
8,39,8,Surat,Mandvi,Lakhigam,SG,UG,67.1,74.1,74.1,4.26,4.06,0.2,4.26,4.06,0.2,100.0,0.0,1129.0,HIGH ALERT,0.0,0.0,15.0,110.63062179314252,100.0
9,7,9,Bharuch,Jhagadia,Dholi,SG,UG,124.0,136.0,136.0,14.17,12.56,1.61,14.17,12.56,1.61,100.0,0.0,667.0,HIGH ALERT,169.0,169.0,0.0,,100.0
10,38,10,Surat,Mandvi,Ver-II,SG,G,101.0,115.8,114.3,31.88,31.72,0.16,24.7,24.55,0.16,77.48,0.0,1126.0,WARNING,0.0,0.0,0.0,,77.4780426599749
11,9,11,Bharuch,Netrang,Baldeva,SG,UG,131.35,141.5,141.52,8.15,7.84,0.31,8.15,7.84,0.31,100.0,0.0,1261.0,HIGH ALERT,129.0,129.0,0.0,,100.0
12,10,12,Bharuch,Netrang,Pigut,SG,UG,130.6,139.7,139.63,7.52,7.27,0.25,7.42,7.17,0.25,98.67,0.0,1250.0,HIGH ALERT,21.0,21.0,0.0,,98.67021276595746
13,6,13,Narmada,Nandod,Karjan,SG,G,78.0,115.25,110.18,538.75,514.65,24.1,399.84,375.74,24.1,74.22,0.0,1103.0,WARNING,0.0,0.0,0.0,,74.21624129930395
14,40,14,Chhotaudepur,Jetpur pavi,Sukhi,CG,G,134.0,147.82,146.79,173.01,163.22,9.79,148.58,138.79,9.79,85.88,0.0,598.0,ALERT,0.0,0.0,86.22,657.9467348964495,85.87942893474367
15,41,15,Chhotaudepur,Kawant,Rami,CG,UG,184.0,196.35,196.3,4.55,4.49,0.06,4.51,4.45,0.06,99.12,0.0,496.0,HIGH ALERT,0.0,0.0,0.0,,99.12087912087912
16,15,16,Panchmahal,Halol,Deo,CG,G,80.0,89.65,87.98,67.95,61.35,6.59,45.61,39.02,6.59,67.12,0.0,595.0,NIL,0.0,0.0,0.0,,67.12288447387785
17,26,17,Dahod,Zalod,Kali - II,CG,UG,250.0,257.0,255.9,14.52,10.91,3.61,13.33,9.72,3.61,91.8,0.0,210.0,HIGH ALERT,0.0,0.0,0.0,,91.80440771349862
18,21,18,Dahod,Zalod,Machchhanala,CG,UG,271.31,277.64,277.1,27.75,21.82,5.93,24.58,18.65,5.93,88.58,0.0,216.0,ALERT,0.0,0.0,0.0,,88.57657657657657
19,17,19,Mahisagar,Kadana,Kadana,CG,G,99.06,127.71,122.02,1249.3,1191.7,57.6,731.27,673.67,57.6,58.53,0.0,596.0,NIL,647.0,0.0,0.0,,58.534379252381335
20,19,20,Mahisagar,Khanpur,Bhadar (P),CG,G,110.95,123.72,115.6,30.95,29.23,1.72,6.56,4.84,1.72,21.2,0.0,263.0,NIL,0.0,0.0,0.0,,21.195476575121162
21,18,21,Dahod,Garbada,Patadungari,CG,UG,160.02,170.84,167.0,41.05,39.64,1.41,17.11,15.7,1.41,41.68,0.0,263.0,NIL,0.0,0.0,0.0,,41.68087697929355
22,24,22,Dahod,Limkheda,Umaria,CG,UG,270.93,280.0,279.95,13.54,11.67,1.87,13.42,11.55,1.87,99.11,0.0,526.0,HIGH ALERT,0.0,0.0,30.0,157.3625223781769,99.11373707533235
