scheme_id,season,scheme_name,district,region,capacity_class,season_capacity_mcm,live_capacity_class,season_live_capacity_mcm,live_values,live_change_dates,n_dates,n_values,n_days_majority,n_days_minority,runs,values,first_date,last_date,change_dates
1,2022,Khambhada,Botad,Sau,clean,4.41,clean,3.48,3.48,,153,1,153,0,4.41@2022-06-01..2022-10-31(153),4.41,2022-06-01,2022-10-31,
1,2023,Khambhada,Botad,Sau,clean,4.41,clean,3.48,3.48,,153,1,153,0,4.41@2023-06-01..2023-10-31(153),4.41,2023-06-01,2023-10-31,
1,2024,Khambhada,Botad,Sau,clean,4.41,clean,3.48,3.48,,153,1,153,0,4.41@2024-06-01..2024-10-31(153),4.41,2024-06-01,2024-10-31,
1,2025,Khambhada,Botad,Sau,clean,4.41,clean,3.48,3.48,,152,1,152,0,4.41@2025-06-01..2025-10-31(152),4.41,2025-06-01,2025-10-31,
1,2026,Khambhada,Botad,Sau,clean,4.41,clean,3.48,3.48,,112,1,112,0,4.41@2026-06-01..2026-09-22(112),4.41,2026-06-01,2026-09-22,
2,2022,Utavali,Botad,Sau,clean,9.01,clean,6.91,6.91,,153,1,153,0,9.01@2022-06-01..2022-10-31(153),9.01,2022-06-01,2022-10-31,
2,2023,Utavali,Botad,Sau,clean,9.01,clean,6.91,6.91,,153,1,153,0,9.01@2023-06-01..2023-10-31(153),9.01,2023-06-01,2023-10-31,
2,2024,Utavali,Botad,Sau,clean,9.01,clean,6.91,6.91,,153,1,153,0,9.01@2024-06-01..2024-10-31(153),9.01,2024-06-01,2024-10-31,
2,2025,Utavali,Botad,Sau,clean,9.01,clean,6.91,6.91,,152,1,152,0,9.01@2025-06-01..2025-10-31(152),9.01,2025-06-01,2025-10-31,
2,2026,Utavali,Botad,Sau,clean,9.01,clean,6.91,6.91,,112,1,112,0,9.01@2026-06-01..2026-09-22(112),9.01,2026-06-01,2026-09-22,
3,2022,Mukteshwar,Banaskantha,NG,clean,31.46,clean,26.3,26.3,,153,1,153,0,31.46@2022-06-01..2022-10-31(153),31.46,2022-06-01,2022-10-31,
3,2023,Mukteshwar,Banaskantha,NG,clean,31.46,clean,26.3,26.3,,153,1,153,0,31.46@2023-06-01..2023-10-31(153),31.46,2023-06-01,2023-10-31,
3,2024,Mukteshwar,Banaskantha,NG,clean,31.46,clean,26.3,26.3,,153,1,153,0,31.46@2024-06-01..2024-10-31(153),31.46,2024-06-01,2024-10-31,
3,2025,Mukteshwar,Banaskantha,NG,clean,31.46,clean,26.3,26.3,,152,1,152,0,31.46@2025-06-01..2025-10-31(152),31.46,2025-06-01,2025-10-31,
3,2026,Mukteshwar,Banaskantha,NG,clean,31.46,clean,26.3,26.3,,112,1,112,0,31.46@2026-06-01..2026-09-22(112),31.46,2026-06-01,2026-09-22,
4,2022,Dantiwada,Banaskantha,NG,clean,393.62,clean,387.41,387.41,,153,1,153,0,393.62@2022-06-01..2022-10-31(153),393.62,2022-06-01,2022-10-31,
4,2023,Dantiwada,Banaskantha,NG,clean,397.12,clean,392.01,392.01,,153,1,153,0,397.12@2023-06-01..2023-10-31(153),397.12,2023-06-01,2023-10-31,
4,2024,Dantiwada,Banaskantha,NG,clean,393.62,clean,387.41,387.41,,153,1,153,0,393.62@2024-06-01..2024-10-31(153),393.62,2024-06-01,2024-10-31,
4,2025,Dantiwada,Banaskantha,NG,clean,397.12,clean,392.01,392.01,,152,1,152,0,397.12@2025-06-01..2025-10-31(152),397.12,2025-06-01,2025-10-31,
4,2026,Dantiwada,Banaskantha,NG,clean,397.12,clean,392.01,392.01,,112,1,112,0,397.12@2026-06-01..2026-09-22(112),397.12,2026-06-01,2026-09-22,
5,2022,Sipu,Banaskantha,NG,clean,161.43,clean,145.37,145.37,,153,1,153,0,161.43@2022-06-01..2022-10-31(153),161.43,2022-06-01,2022-10-31,
5,2023,Sipu,Banaskantha,NG,clean,161.43,clean,145.37,145.37,,153,1,153,0,161.43@2023-06-01..2023-10-31(153),161.43,2023-06-01,2023-10-31,
5,2024,Sipu,Banaskantha,NG,clean,161.43,clean,145.37,145.37,,153,1,153,0,161.43@2024-06-01..2024-10-31(153),161.43,2024-06-01,2024-10-31,
5,2025,Sipu,Banaskantha,NG,clean,161.43,clean,145.37,145.37,,152,1,152,0,161.43@2025-06-01..2025-10-31(152),161.43,2025-06-01,2025-10-31,
5,2026,Sipu,Banaskantha,NG,clean,161.43,clean,145.37,145.37,,112,1,112,0,161.43@2026-06-01..2026-09-22(112),161.43,2026-06-01,2026-09-22,
6,2022,Karjan,Narmada,SG,clean,538.75,clean,514.65,514.65,,153,1,153,0,538.75@2022-06-01..2022-10-31(153),538.75,2022-06-01,2022-10-31,
6,2023,Karjan,Narmada,SG,clean,538.75,clean,514.65,514.65,,153,1,153,0,538.75@2023-06-01..2023-10-31(153),538.75,2023-06-01,2023-10-31,
6,2024,Karjan,Narmada,SG,clean,538.75,clean,514.65,514.65,,153,1,153,0,538.75@2024-06-01..2024-10-31(153),538.75,2024-06-01,2024-10-31,
6,2025,Karjan,Narmada,SG,clean,538.75,clean,514.65,514.65,,152,1,152,0,538.75@2025-06-01..2025-10-31(152),538.75,2025-06-01,2025-10-31,
6,2026,Karjan,Narmada,SG,clean,538.75,clean,514.65,514.65,,112,1,112,0,538.75@2026-06-01..2026-09-22(112),538.75,2026-06-01,2026-09-22,
7,2022,Dholi,Bharuch,SG,clean,14.17,clean,12.56,12.56,,153,1,153,0,14.17@2022-06-01..2022-10-31(153),14.17,2022-06-01,2022-10-31,
7,2023,Dholi,Bharuch,SG,clean,14.17,clean,12.56,12.56,,153,1,153,0,14.17@2023-06-01..2023-10-31(153),14.17,2023-06-01,2023-10-31,
7,2024,Dholi,Bharuch,SG,clean,14.17,clean,12.56,12.56,,153,1,153,0,14.17@2024-06-01..2024-10-31(153),14.17,2024-06-01,2024-10-31,
7,2025,Dholi,Bharuch,SG,clean,14.17,clean,12.56,12.56,,152,1,152,0,14.17@2025-06-01..2025-10-31(152),14.17,2025-06-01,2025-10-31,
7,2026,Dholi,Bharuch,SG,clean,14.17,clean,12.56,12.56,,112,1,112,0,14.17@2026-06-01..2026-09-22(112),14.17,2026-06-01,2026-09-22,
8,2022,Chopadvav,Narmada,SG,clean,12.05,clean,11.3,11.3,,153,1,153,0,12.05@2022-06-01..2022-10-31(153),12.05,2022-06-01,2022-10-31,
8,2023,Chopadvav,Narmada,SG,clean,12.05,clean,11.3,11.3,,153,1,153,0,12.05@2023-06-01..2023-10-31(153),12.05,2023-06-01,2023-10-31,
8,2024,Chopadvav,Narmada,SG,clean,7.18,clean,7.18,7.18,,153,1,153,0,7.18@2024-06-01..2024-10-31(153),7.18,2024-06-01,2024-10-31,
8,2025,Chopadvav,Narmada,SG,clean,7.18,clean,7.18,7.18,,152,1,152,0,7.18@2025-06-01..2025-10-31(152),7.18,2025-06-01,2025-10-31,
8,2026,Chopadvav,Narmada,SG,clean,7.18,clean,7.18,7.18,,112,1,112,0,7.18@2026-06-01..2026-09-22(112),7.18,2026-06-01,2026-09-22,
9,2022,Baldeva,Bharuch,SG,clean,8.15,clean,7.84,7.84,,153,1,153,0,8.15@2022-06-01..2022-10-31(153),8.15,2022-06-01,2022-10-31,
9,2023,Baldeva,Bharuch,SG,clean,8.15,clean,7.84,7.84,,153,1,153,0,8.15@2023-06-01..2023-10-31(153),8.15,2023-06-01,2023-10-31,
9,2024,Baldeva,Bharuch,SG,clean,8.15,clean,7.84,7.84,,153,1,153,0,8.15@2024-06-01..2024-10-31(153),8.15,2024-06-01,2024-10-31,
9,2025,Baldeva,Bharuch,SG,clean,8.15,clean,7.84,7.84,,152,1,152,0,8.15@2025-06-01..2025-10-31(152),8.15,2025-06-01,2025-10-31,
9,2026,Baldeva,Bharuch,SG,clean,8.15,clean,7.84,7.84,,112,1,112,0,8.15@2026-06-01..2026-09-22(112),8.15,2026-06-01,2026-09-22,
10,2022,Pigut,Bharuch,SG,clean,7.52,clean,7.27,7.27,,153,1,153,0,7.52@2022-06-01..2022-10-31(153),7.52,2022-06-01,2022-10-31,
10,2023,Pigut,Bharuch,SG,clean,7.52,clean,7.27,7.27,,153,1,153,0,7.52@2023-06-01..2023-10-31(153),7.52,2023-06-01,2023-10-31,
10,2024,Pigut,Bharuch,SG,clean,7.52,clean,7.27,7.27,,153,1,153,0,7.52@2024-06-01..2024-10-31(153),7.52,2024-06-01,2024-10-31,
10,2025,Pigut,Bharuch,SG,clean,7.52,clean,7.27,7.27,,152,1,152,0,7.52@2025-06-01..2025-10-31(152),7.52,2025-06-01,2025-10-31,
10,2026,Pigut,Bharuch,SG,clean,7.52,clean,7.27,7.27,,112,1,112,0,7.52@2026-06-01..2026-09-22(112),7.52,2026-06-01,2026-09-22,
