scheme_id,lat,lon,source,tier,match,nrld_pic,nrld_name,cap_diff_pct,km_outside_district,taluka_similarity,outside_state_outline
1,22.162222,71.792222,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0483,Khambhada,0.0,0.0,0.25,
2,22.195833,71.792222,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0561,Utavali (Gunda),0.0,0.0,1.0,
3,24.04,72.627778,CWC NRLD 2019,B,exact stem+ordinal,GJ04HH0583,Mukteshwar,21.35,0.0,0.923,
4,24.337222,72.340556,CWC NRLD 2019,C,exact stem+ordinal,GJ04HH0161,Dantiwada,14.41,0.0,0.5,
5,24.401111,72.310833,CWC NRLD 2019,A,exact stem+ordinal,GJ04HH0511,Sipu,9.21,0.0,0.5,
6,21.815,73.538056,CWC NRLD 2019,A,exact stem+ordinal,GJ04VH0470,Karjan,0.0,0.0,0.143,
7,21.711944,73.321667,CWC NRLD 2019,A,exact stem+ordinal,GJ04HH0534,Dholi,7.41,0.0,1.0,
8,21.535833,73.751667,CWC NRLD 2019,A,exact stem+ordinal,GJ04HH0441,Chopadvav,0.0,0.0,1.0,
9,21.615833,73.408056,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0327,Baldeva,0.0,0.0,0.167,
10,21.508611,73.382778,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0414,Pigut,0.0,0.0,0.167,
11,21.517778,73.731667,CWC NRLD 2019,A,"folded stem 1.00, ordinal exact",GJ04HH0426,Kakadiamba,0.0,0.0,1.0,
12,22.948056,73.428889,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0111,Wanakbori ( Mahi Stg I),0.07,0.0,0.333,
13,24.004444,72.853611,CWC NRLD 2019,B,exact stem+ordinal,GJ04HH0380,Dharoi,10.44,0.0,1.0,
14,23.053889,73.717222,CWC NRLD 2019,C,exact stem+ordinal,GJ04LH0315,Panam,21.61,0.0,0.267,
15,22.376389,73.5475,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0468,Deo,0.01,0.0,1.0,
16,22.890278,73.878333,CWC NRLD 2019,C,exact stem+ordinal,GJ04MH0456,Hadaf,31.53,0.0,0.308,
17,23.306944,73.823889,CWC NRLD 2019,C,exact stem+ordinal,GJ04HH0332,Kadana,18.98,0.0,0.375,
18,22.725278,74.285,CWC NRLD 2019,A,"folded stem 1.00, ordinal exact",GJ04MH0253,Patadungri,0.12,0.0,0.333,
20,22.560278,73.695833,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0110,Karad,0.0,0.0,0.364,
22,22.971111,73.926944,CWC NRLD 2019,A,"folded stem 1.00, ordinal exact",GJ04MH0529,Kabutri,0.0,0.0,0.267,
24,22.773333,74.0675,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0526,Umaria,0.07,0.0,1.0,
25,22.675833,74.048611,CWC NRLD 2019,C,exact stem+ordinal,GJ04MH0502,Edalwada,19.53,0.0,0.267,
26,22.907778,74.241944,CWC NRLD 2019,A,exact stem+ordinal,GJ04LH0676,KALI II,0.0,0.0,0.727,
27,23.313889,73.406944,CWC NRLD 2019,B,exact stem+ordinal,GJ04HH0423,Watrak,10.57,0.0,1.0,
28,23.700556,73.050278,CWC NRLD 2019,A,exact stem+ordinal,GJ04HH0504,Guhai,9.32,0.0,0.952,
29,23.483889,73.355556,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0430,Mazam,0.0,0.0,1.0,
30,23.7,73.187222,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0497,Hathmati,5.01,0.0,1.0,
31,23.147778,73.2475,CWC NRLD 2019,B,exact stem+ordinal,GJ04LH0652,Lank,11.8,0.0,1.0,
33,23.983333,73.3,CWC NRLD 2019,A,exact stem+ordinal,GJ04HH0505,Harnav II,0.0,0.0,1.0,
34,23.681667,73.391944,CWC NRLD 2019,B,exact stem+ordinal,GJ04LH0213,Meshwo,35.21,0.0,1.0,
35,23.576944,73.593611,CWC NRLD 2019,A,"folded stem 1.00, ordinal exact",GJ04MH0360,Vaidy,0.11,0.0,1.0,
36,21.248056,73.589444,CWC NRLD 2019,A,exact stem+ordinal,GJ04HH0222,Ukai Dam,0.0,0.0,1.0,
37,21.122778,73.518333,CWC NRLD 2019,B,exact stem+ordinal,GJ04MH0023,Doswada,23.23,0.0,1.0,
38,21.392778,73.386944,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0532,Ver II,0.0,0.0,1.0,
39,21.316667,73.513889,CWC NRLD 2019,A-bdy,exact stem+ordinal,GJ04MH0409,Lakhigam,0.1,3.41,1.0,
40,22.439722,73.8825,CWC NRLD 2019,A,exact stem+ordinal,GJ04HH0463,Sukhi,3.06,0.0,0.571,
41,22.079444,74.007222,CWC NRLD 2019,C,exact stem+ordinal,GJ04MH0353,Rami,35.73,0.0,0.211,
42,20.192778,73.059722,CWC NRLD 2019,A-bdy,"folded stem 1.00, ordinal exact",GJ04HH0514,Dmanganga (Madhuvan),7.43,1.12,0.933,yes
43,20.701111,73.388056,CWC NRLD 2019,A,exact stem+ordinal,GJ04HH0481,Jhuj,0.0,0.0,1.0,
44,20.701111,73.279167,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0407,Kelia,9.41,0.0,1.0,
45,23.258889,70.143611,CWC NRLD 2019,A,exact stem+ordinal,GJ04HH0539,Tappar,0.43,0.0,1.0,
46,23.671111,68.658056,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0403,Godhatad,4.51,0.0,1.0,
47,23.626667,68.787778,CWC NRLD 2019,A,"folded stem 1.00, ordinal exact",GJ04LH0092,Sanandharo,0.06,0.0,1.0,
48,23.372778,69.713056,CWC NRLD 2019,A,"folded stem 1.00, ordinal exact",GJ04HH0206,Rudarmata,4.96,0.0,1.0,
49,23.6425,69.12,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0369,Nara,3.24,0.0,1.0,
50,23.439722,69.493056,CWC NRLD 2019,A,"folded stem 1.00, ordinal exact",GJ04HH0205,Nirona,0.0,0.0,1.0,
51,23.428611,69.359444,CWC NRLD 2019,A,exact stem+ordinal,GJ04HH0398,Bhukhi,0.0,0.0,1.0,
52,23.164444,69.133333,CWC NRLD 2019,B,exact stem+ordinal,GJ04MH0099,Kankawati,28.06,0.0,1.0,
53,23.433333,69.166667,CWC NRLD 2019,B,exact stem+ordinal,GJ04MH0387,Mathal,12.94,0.0,1.0,
54,23.371667,69.595833,CWC NRLD 2019,B,exact stem+ordinal,GJ04MH0091,Kaila,55.21,0.0,1.0,
55,23.608333,70.496111,CWC NRLD 2019,B,exact stem+ordinal,GJ04MH0198,Suvi,26.75,0.0,1.0,
56,23.380556,69.898889,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0289,Kaswati,7.66,0.0,1.0,
57,23.016944,69.561389,CWC NRLD 2019,C,exact stem+ordinal,GJ04MH0090,Gajod,27.81,0.0,0.2,
58,23.462222,68.882778,CWC NRLD 2019,A,"folded stem 1.00, ordinal exact",GJ04MH0405,Jangadiya,0.0,0.0,1.0,
59,23.695833,70.788611,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0503,Fatehgadh,0.13,0.0,1.0,
60,23.210278,69.061111,CWC NRLD 2019,A,"folded stem 1.00, ordinal exact",GJ04MH0395,Berachiya,0.0,0.0,1.0,
61,23.585556,69.123333,CWC NRLD 2019,B,exact stem+ordinal,GJ04MH0120,Gajansar,18.53,0.0,1.0,
62,22.930556,69.681667,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0469,Kalaghogha,0.0,0.0,1.0,
63,22.973056,69.315833,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0425,Don,0.22,0.0,1.0,
64,23.333611,68.831111,CWC NRLD 2019,B,exact stem+ordinal,GJ04HH0411,Mitti,14.03,0.0,1.0,
66,21.624444,71.213889,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0541,Thebi,0.0,0.0,1.0,
68,20.984167,71.313333,CWC NRLD 2019,A,exact stem+ordinal,GJ04LH0537,Raidy,0.0,0.0,0.308,
69,21.676667,70.826111,CWC NRLD 2019,A,exact stem+ordinal,GJ04LH0528,Vadiya,0.09,0.0,0.538,
70,21.628056,71.165278,CWC NRLD 2019,A,exact stem+ordinal,GJ04LH0568,Vadi,0.0,0.0,1.0,
71,21.306111,71.233333,CWC NRLD 2019,A,"folded stem 1.00, ordinal exact",GJ04LH0673,Shel-Dedumal,0.12,0.0,1.0,
72,21.466667,70.916667,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0106,Munjiasar,7.21,0.0,0.381,
73,21.653333,70.773611,CWC NRLD 2019,B,exact stem+ordinal,GJ04MH0166,Sankroli,28.45,0.0,1.0,
74,21.198889,71.369722,CWC NRLD 2019,B,exact stem+ordinal,GJ04MH0088,Surajwadi,35.0,0.0,1.0,
75,21.030556,71.425,CWC NRLD 2019,A,exact stem+ordinal,GJ04LH0574,Dhatarwadi-II,0.0,0.0,1.0,
76,21.474444,71.879444,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0122,Shetrunji,0.01,0.0,1.0,
77,21.516389,71.911389,CWC NRLD 2019,B,exact stem+ordinal,GJ04MH0352,Rajawal,14.54,0.0,1.0,
78,21.861389,71.628889,CWC NRLD 2019,B,exact stem+ordinal,GJ04MH0109,Kalubhar,30.52,0.0,1.0,
79,21.863056,71.543611,CWC NRLD 2019,A,exact stem+ordinal,GJ04LH0672,Malpara,0.0,0.0,1.0,
80,21.501944,71.865,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0385,Kharo,0.0,0.0,1.0,
81,21.223056,71.625,CWC NRLD 2019,B,exact stem+ordinal,GJ04MH0083,Malan,29.25,0.0,1.0,
82,21.764444,71.6525,CWC NRLD 2019,B,exact stem+ordinal,GJ04MH0069,Ranghola,17.37,0.0,1.0,
83,21.981944,71.468333,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0540,Limbali,0.24,0.0,1.0,
84,21.697778,72.135833,CWC NRLD 2019,C,exact stem+ordinal,GJ04MH0428,Lakhanka,13.41,0.0,0.267,
85,21.505,72.063611,CWC NRLD 2019,B,exact stem+ordinal,GJ04LH0445,Hamirpara,16.09,0.0,1.0,
87,22.239167,71.626389,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0559,Kaniyad,0.0,0.0,1.0,
88,21.467778,71.950833,CWC NRLD 2019,A,"folded stem 1.00, ordinal exact",GJ04LH0675,Pingali,0.47,0.0,1.0,
89,22.240556,71.506111,CWC NRLD 2019,B,exact stem+ordinal,GJ04MH0220,Goma(Saurastra),13.75,0.0,1.0,
90,21.293056,71.894444,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0378,Bagad,0.0,0.0,1.0,
91,21.229167,71.678611,CWC NRLD 2019,B,exact stem+ordinal,GJ04MH0165,Rojki,23.08,0.0,1.0,
92,22.086389,71.575278,CWC NRLD 2019,B,exact stem+ordinal,GJ04MH0072,Bhimdad,38.66,0.0,1.0,
94,22.403889,70.403611,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0490,Und I,4.76,0.0,1.0,
95,21.977222,69.491389,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0523,Sani,1.49,0.0,0.857,
96,22.340833,69.954167,CWC NRLD 2019,B,exact stem+ordinal,GJ04MH0086,Sasoi,25.55,0.0,1.0,
97,22.189167,69.655278,CWC NRLD 2019,B,exact stem+ordinal,GJ04MH0074,Ghee,20.74,0.0,0.87,
98,22.241944,70.274722,CWC NRLD 2019,B,exact stem+ordinal,GJ04MH0126,Fulzar I,23.76,0.0,1.0,
99,21.829444,69.928056,CWC NRLD 2019,A,"folded stem 1.00, ordinal exact",GJ04MH0517,Daiminisar,0.09,0.0,1.0,
100,22.021111,69.810833,CWC NRLD 2019,B,exact stem+ordinal,GJ04MH0180,Vartu-I,11.05,0.0,1.0,
101,22.405556,70.183056,CWC NRLD 2019,A,exact stem+ordinal,GJ04LH0008,Vijarkhi,3.19,0.0,1.0,
102,22.349444,69.916944,CWC NRLD 2019,B,exact stem+ordinal,GJ04MH0084,Puna,44.07,0.0,1.0,
103,21.879444,70.099167,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0636,Umiyasagar,0.0,0.0,1.0,
104,22.114444,69.458333,CWC NRLD 2019,A,"folded stem 1.00, ordinal exact",GJ04HH0582,Gadhki,0.0,0.0,0.87,
105,22.381111,70.256667,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0590,Ruparel,0.0,0.0,1.0,
106,22.633889,70.3625,CWC NRLD 2019,A,exact stem+ordinal,GJ04LH0552,Und II,0.0,0.0,1.0,
108,22.3375,70.050278,CWC NRLD 2019,B,exact stem+ordinal,GJ04MH0431,Rangmati,11.06,0.0,1.0,
109,21.923333,69.705,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0569,Vartu II,0.0,0.0,1.0,
110,21.928889,70.076667,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0549,Fulzar(Kb),0.0,0.0,1.0,
111,22.715556,70.485278,CWC NRLD 2019,B,exact stem+ordinal,GJ04MH0555,Aji IV,11.35,0.0,1.0,
112,22.742222,70.611111,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0562,Demi III,0.0,0.0,0.364,
114,22.3875,70.221111,CWC NRLD 2019,B,"folded stem 1.00, ordinal exact",GJ04MH0178,Sapda,21.8,0.0,1.0,
115,22.05,69.766667,CWC NRLD 2019,B,exact stem+ordinal,GJ04MH0524,Sonmati,39.19,0.0,1.0,
116,22.241111,69.811389,CWC NRLD 2019,B,exact stem+ordinal,GJ04MH0310,Fulzar II,34.87,0.0,0.923,
119,22.3025,70.336111,CWC NRLD 2019,A,exact stem+ordinal,GJ04MH0553,Wodisang,0.0,0.0,1.0,
120,22.181111,69.976667,CWC NRLD 2019,A,exact stem+ordinal,GJ04LH0572,Rupavati,0.36,0.0,1.0,
