district_name,net_sown_ha,irrigated_ha,canal_ha,well_tubewell_ha,tank_lake_ha,waterfall_ha,other_source_ha,unirrigated_ha,culturable_waste_ha,villages,canal_pct_of_irrigated,well_pct_of_irrigated,irrigated_pct_of_net_sown,well_to_canal,region,has_monitored_dam
surat,243215.5,171621.2,127608.5,35255.7,1432.3,295.7,7029.0,71594.3,7168.4,690,74.4,20.5,70.6,0.3,SG,True
vadodara,501057.0,288990.9,106230.2,166853.0,9566.1,1113.7,5227.8,212066.1,13890.2,1533,36.8,57.7,57.7,1.6,CG,True
ahmadabad,528496.4,212418.6,82075.7,101574.6,24993.0,79.0,3696.3,316077.8,19964.4,506,38.6,47.8,40.2,1.2,—,False
anand,202027.1,182187.8,77902.1,101628.6,894.0,452.1,1310.9,19839.3,3825.0,346,42.8,55.8,90.2,1.3,—,False
kheda,289808.6,165821.2,59357.3,97263.2,7779.0,20.0,1401.7,123987.3,7396.3,611,35.8,58.7,57.2,1.6,CG,True
bharuch,329676.6,97586.9,51502.7,42384.9,2015.1,43.8,1640.4,232089.7,6548.1,645,52.8,43.4,29.6,0.8,SG,True
rajkot,723371.8,252485.7,41277.7,180632.0,18553.7,665.1,11357.3,470886.1,27135.8,830,16.3,71.5,34.9,4.4,Sau,True
navsari,136639.5,72747.1,41176.9,22162.2,2974.6,229.2,6204.3,63892.4,6584.4,372,56.6,30.5,53.2,0.5,SG,True
mahesana,321417.2,234387.2,34743.2,192009.2,5971.9,231.4,1431.5,87030.0,12173.8,586,14.8,81.9,72.9,5.5,NG,True
jamnagar,583219.7,239694.1,26074.6,180740.0,28418.2,593.0,3868.2,343525.7,43645.5,696,10.9,75.4,41.1,6.9,Sau,True
sabar kantha,434666.9,255282.3,25985.3,219868.6,6669.0,29.5,2729.9,179384.5,16943.6,1358,10.2,86.1,58.7,8.5,NG,True
kachchh,717579.7,134156.5,24943.5,98876.6,8968.5,0.0,1367.9,583423.2,123131.8,872,18.6,73.7,18.7,4.0,Kutch,True
bhavnagar,516924.4,216115.6,24880.7,184514.3,6109.1,119.3,492.1,300808.9,23552.0,779,11.5,85.4,41.8,7.4,Sau,True
panch mahals,302123.5,68968.6,22467.3,42580.4,2362.1,263.2,1295.6,233154.9,11460.1,1193,32.6,61.7,22.8,1.9,CG,True
surendranagar,674390.7,202638.5,22455.1,172658.0,6248.1,716.0,561.4,471752.2,33628.0,647,11.1,85.2,30.0,7.7,Sau,True
tapi,131253.6,56798.5,20918.2,23116.9,1154.5,171.7,11437.2,74455.1,7012.9,451,36.8,40.7,43.3,1.1,SG,True
patan,387499.0,134564.6,18641.2,108225.4,5679.7,2.0,2016.3,252934.4,21708.5,513,13.9,80.4,34.7,5.8,—,False
valsad,139019.8,31405.3,17897.0,10487.0,1797.4,2.0,1221.9,107614.5,9259.6,433,57.0,33.4,22.6,0.6,SG,True
narmada,109667.8,32196.9,13154.8,17925.3,614.4,0.0,502.4,77470.8,7027.4,555,40.9,55.7,29.4,1.4,SG,True
banas kantha,705585.1,393415.2,10701.9,372827.1,9782.5,6.0,97.8,312169.9,36287.5,1229,2.7,94.8,55.8,34.8,NG,True
junagadh,506440.5,254759.1,8939.0,239856.0,4097.2,0.0,1866.9,251681.4,14986.7,899,3.5,94.2,50.3,26.8,Sau,True
porbandar,118279.8,30913.1,7626.1,21459.8,352.4,0.0,1474.9,87366.6,9233.6,178,24.7,69.4,26.1,2.8,Sau,True
dohad,206376.5,32342.4,5247.6,21137.3,3385.8,95.1,2476.7,174034.1,8665.0,690,16.2,65.4,15.7,4.0,CG,True
gandhinagar,136848.0,93413.5,4471.3,84547.5,2659.4,0.0,1735.3,43434.5,3301.0,252,4.8,90.5,68.3,18.9,—,False
amreli,522391.1,132122.0,2656.2,123541.4,1303.2,22.0,4599.3,390269.1,6728.3,613,2.0,93.5,25.3,46.5,Sau,True
the dangs,60703.9,1095.7,355.0,572.7,50.5,22.9,94.5,59608.2,1625.2,308,32.4,52.3,1.8,1.6,—,False
