scheme_id,scheme_name,district,region,gca_ha,cca_ha,max_irrigated_ha,max_irrigated_year,scheme_class,year_completed,river,n_command_villages,source,contentid,nwrws_name,match_tier,name_score
13,Dharoi,Mahesana,NG,177112,95222,40762,1993.94,Major,1984,Sabarmati,13,Gujarat NWRWS Data Bank,2897,Dharoi,A,1.0
14,Panam,Mahisagar,CG,58273,36405,28470,1998.99,Major,1999,Panam,133,Gujarat NWRWS Data Bank,2907,Panam,A,1.0
148,Bhadar,Rajkot,Sau,36842,26587,25823,1996.97,Major,1964,Bhadar,46,Gujarat NWRWS Data Bank,2947,Bhadar,A,1.0
152,Moj,Rajkot,Sau,12150,7400,5115,1997.98,Medium,1956,Moj,14,Gujarat NWRWS Data Bank,3138,Moj,A,1.0
82,Ranghola,Bhavnagar,Sau,17415,7150,1588,2007.08,,1952,Ranghola,21,Gujarat NWRWS Data Bank,3150,Ranghola,A,1.0
106,Und-II,Jamnagar,Sau,8076,6642,1972,2003.04,Medium,1998,Und,10,Gujarat NWRWS Data Bank,3010,Und-2,A,1.0
3,Mukteshwar,Banaskantha,NG,11302,6186,814,2007.08,Medium,1990,Sarashvati,23,Gujarat NWRWS Data Bank,2917,Mukteshvar,A,1.0
182,Sukhbhadar,Botad,Sau,6280,5410,538,2007.08,Medium,1987,Sukhbhadar,15,Gujarat NWRWS Data Bank,3195,Sukhbhadar,A,1.0
153,Venu-II,Rajkot,Sau,9259,5253,2855,1997.98,,1988,Venu,10,Gujarat NWRWS Data Bank,3183,Venu-2,A,1.0
78,Kalubhar,Botad,Sau,6050,5080,1941,2003.04,,1986,Kalubhar,0,Gujarat NWRWS Data Bank,3023,Kalubhar,A,1.0
18,Patadungari,Dahod,CG,6235,5072,4087,1979.8,Medium,1950,Khan,4,Gujarat NWRWS Data Bank,2903,Patadungri,B,0.952
57,Gajod,Kachchh,Kutch,4739,4228,,,Medium,1955,Nagmati,4,Gujarat NWRWS Data Bank,2876,Gajod,A,1.0
72,Munjiasar,Amreli,Sau,5465,3481,1206,2007.08,Medium,1957,Satali,8,Gujarat NWRWS Data Bank,3136,Munjiyasar,A,1.0
81,Malan,Bhavnagar,Sau,4050,3385,1086,2004.05,Medium,1954,Malan,10,Gujarat NWRWS Data Bank,3133,Malan,A,1.0
172,Demi - I,Morbi,Sau,3480,3132,2913,1998.99,Medium,1858.,Demi,13,Gujarat NWRWS Data Bank,3211,Demi-1,A,1.0
164,Demi - II,Morbi,Sau,4765,3108,1910,1998.98,Medium,1989.,Demi,8,Gujarat NWRWS Data Bank,3214,Demi-2,A,1.0
67,Dhatarvadi,Amreli,Sau,3925,2635,2114,2004.05,,1974,Dhatarwadi,13,Gujarat NWRWS Data Bank,3054,Dhatarwadi,A,1.0
91,Rojki,Bhavnagar,Sau,3240,2523,926,2005.06,,1963,Rojki,7,Gujarat NWRWS Data Bank,3171,Rojki,A,1.0
49,Nara,Kachchh,Kutch,3746,2306,,,Medium,1981,Nara,3,Gujarat NWRWS Data Bank,2905,Nara,A,1.0
9,Baldeva,Bharuch,SG,2469,2240,766,1998.99,Medium,1996,Tokri,10,Gujarat NWRWS Data Bank,2945,Baldeva,A,1.0
144,Sorthi,Porbandar,Sau,2428,2145,1278,1998.99,Medium,1975,Sorthi,6,Gujarat NWRWS Data Bank,3201,Sorthi,A,1.0
92,Bhimdad,Botad,Sau,3240,2023,496,2005.06,,1953,Madhu,0,Gujarat NWRWS Data Bank,3076,Bhimdad,A,1.0
74,Surajwadi,Amreli,Sau,3495,1891,615,2007.08,,1952,Surajwadi,5,Gujarat NWRWS Data Bank,3197,Surajwadi,A,1.0
53,Mathal,Kachchh,Kutch,2507,1834,,,Medium,1984,Dhadodha,4,Gujarat NWRWS Data Bank,2915,Mathal,A,1.0
22,Kabutari,Dahod,CG,2230,1818,1380,1995.96,Medium,1988,Kabutri,5,Gujarat NWRWS Data Bank,2487,Kabutri,B,0.933
154,Nyari-II,Rajkot,Sau,2070,1695,,,,,Nyari,9,Gujarat NWRWS Data Bank,3060,Nyari-2,A,1.0
90,Bagad,Bhavnagar,Sau,2502,1567,542,2003.04,,1982,Bagad,9,Gujarat NWRWS Data Bank,3072,Bagad,A,1.0
25,Edalwada,Dahod,CG,1612,1376,967,1998.99,Medium,1982,Naleshvar,5,Gujarat NWRWS Data Bank,2469,Aedalwada,B,0.941
84,Lakhanka,Bhavnagar,Sau,1880,1359,126,2007.08,,1984,Maleri,4,Gujarat NWRWS Data Bank,3173,Lakhanka,A,1.0
7,Dholi,Bharuch,SG,1503,1261,156,2007.08,,1995,Madhumati,10,Gujarat NWRWS Data Bank,2899,Dholi,A,1.0
85,Hamirpara,Bhavnagar,Sau,1347,1053,122,2006.07,,1985,Utavali,4,Gujarat NWRWS Data Bank,3203,Hamirpra,B,0.941
8,Chopadvav,Narmada,SG,2170,1020,639,1995.96,Medium,1985,Doman,19,Gujarat NWRWS Data Bank,2880,Chopadvav,A,1.0
11,Kakdi-Amba,Narmada,SG,1007,799,638,1998.99,Medium,1984,Vaghlikhadi,14,Gujarat NWRWS Data Bank,2874,Kakdiamba,A,1.0
70,Vadi,Amreli,Sau,999,778,,,,1992,Survo,4,Gujarat NWRWS Data Bank,3179,Vadia,B,0.889
60,Berachia,Kachchh,Kutch,3307,597,,,Medium,1980,Nair,4,Gujarat NWRWS Data Bank,2913,Berachia,A,1.0
59,Fatehgadh,Kachchh,Kutch,5305,567,,,Medium,1990,Malan,2,Gujarat NWRWS Data Bank,2911,Fategadh,B,0.933
62,Kalaghogha,Kachchh,Kutch,708,536,,,,1987,Fot,0,Gujarat NWRWS Data Bank,2473,Kalaghogha,A,1.0
83,Limbali,Botad,Sau,480,480,,,,1996,Ghelo,6,Gujarat NWRWS Data Bank,3175,Limbali,A,1.0
181,Malgadh,Rajkot,Sau,488,366,12,2006.07,,1985,Ghelo,2,Gujarat NWRWS Data Bank,3130,Malgadh,A,1.0
77,Rajawal,Bhavnagar,Sau,329,278,131,1994.95,,1980,Rajaval,0,Gujarat NWRWS Data Bank,3153,Rajaval,A,1.0
